Player_initial_last,tournament id,player id,DK_Hole_FP,DK_Streak_Bonus_FP,FD_Hole_FP,FD_Streak_Bonus_FP,player,tournament name,date,season,final position,DK_Finish_FP,FD_Finish_FP,DK_Total_FP,FD_Total_FP,major,made_cut,course,Finish,Score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
A. Hadwin,3780,5548,64.5,3,57.8,15.9,Adam Hadwin,CIMB Classic,10/15/2017,2018,51,0,0,67.5,73.7,0,1,"Kuala Lumpur - Kuala Lumpur, Malaysia",NA,NA,NA,NA,NA,NA,NA,NA
A. Hadwin,3789,5548,73,6,70.8,10.5,Adam Hadwin,World Golf Championships-Mexico Championship,3/4/2018,2018,9,8,7,87,88.3,0,1,"Chapultepec - Mexico City, Mexico",T9,-10,0.32,0.33,1.75,-0.54,1.53,1.85
A. Hadwin,3802,5548,44.5,0,36,10.6,Adam Hadwin,The CJ Cup @ Nine Bridges,10/22/2017,2018,47,1,0,45.5,46.6,0,1,"Nine Bridges - Seoul, South Korea",NA,NA,NA,NA,NA,NA,NA,NA
A. Hadwin,401025221,5548,62,0,54.1,31.4,Adam Hadwin,Masters Tournament,4/8/2018,2018,24,4,3,66,88.5,1,1,"Augusta National - Augusta, GA",NA,NA,NA,NA,NA,NA,NA,NA
A. Hadwin,401025249,5548,61.5,0,57,21.4,Adam Hadwin,Wells Fargo Championship,5/6/2018,2018,16,5,4,66.5,82.4,0,1,"Quail Hollow - Charlotte, NC",T16,-3,0.78,0.52,0.67,-0.3,0.89,1.67
A. Hadwin,401025250,5548,68,0,62,28,Adam Hadwin,The Players Championship,5/13/2018,2018,57,0,0,68,90,0,1,"TPC Sawgrass - Ponte Vedra Beach, FL",T57,-4,0.47,-1,0,0.8,-0.19,0.28
A. Hadwin,401025252,5548,63,0,58.1,19.8,Adam Hadwin,Fort Worth Invitational,5/27/2018,2018,52,0,0,63,77.9,0,1,"Colonial - Ft. Worth, TX",NA,NA,NA,NA,NA,NA,NA,NA
A. Hadwin,401025253,5548,35,0,29.6,24.8,Adam Hadwin,The Memorial Tournament pres. by Nationwide,6/3/2018,2018,NA,0,0,35,54.4,0,0,"Muirfield Village - Dublin, OH",T74,1,-0.2,-0.16,-0.53,-0.04,-0.74,-0.94
A. Hadwin,401025255,5548,4.5,0,-8.4,0,Adam Hadwin,U.S. Open,6/17/2018,2018,NA,0,0,4.5,-8.4,1,0,"Shinnecock - Southampton, NY",NA,NA,NA,NA,NA,NA,NA,NA
A. Hadwin,401025256,5548,59.5,3,56.3,5.5,Adam Hadwin,Travelers Championship,6/24/2018,2018,42,1,0,63.5,61.8,0,1,"TPC River Highlands - Cromwell, CT",T42,-4,1.02,-0.5,-0.27,0.19,-0.59,0.44
